Station_Number,Station_Name,Location_meters,Location_CI,Scale_meters,Scale_CI,Shape_meters,Shape_CI
1611400,Nawiliwili,0.258,0.017,0.062,0.011,0.028,0.082
1612340,Honolulu,0.255,0.012,0.056,0.008,-0.182,0.112
1612480,Mokuoloe,0.293,0.016,0.051,0.011,-0.174,0.174
1615680,Kahului,0.28,0.014,0.048,0.01,-0.186,0.174
1617760,Hilo,0.301,0.016,0.06,0.012,-0.298,0.162
1619000,Johnston Atoll,0.35,0.024,0.082,0.017,0.007,0.146
1619910,Midway Atoll,0.366,0.031,0.114,0.021,-0.05,0.146
1630000,Guam,0.233,0.018,0.066,0.012,-0.022,0.115
1770000,Pago Pago,0.284,0.018,0.066,0.011,-0.278,0.091
1820000,Kwajalein,0.448,0.014,0.053,0.009,-0.272,0.115
1840000,Chuuk,0.246,0.021,0.064,0.015,-0.026,0.142
1890000,Wake Island,0.322,0.02,0.071,0.015,0.222,0.163
2695540,Bermuda,0.367,0.021,0.078,0.015,0.005,0.179
8410140,Eastport,1.044,0.023,0.094,0.016,0,0.139
8413320,Bar Harbor,0.754,0.026,0.092,0.019,-0.008,0.189
8418150,Portland,0.714,0.023,0.103,0.017,0.038,0.159
8419870,Seavey Island,0.637,0.037,0.12,0.027,-0.035,0.231
8443970,Boston,0.764,0.031,0.133,0.023,0.019,0.156
8447930,Woods Hole,0.565,0.04,0.161,0.032,0.24,0.157
8449130,Nantucket Island,0.504,0.041,0.125,0.03,0.052,0.21
8452660,Newport,0.582,0.032,0.131,0.027,0.29,0.17
8454000,Providence,0.72,0.054,0.19,0.046,0.323,0.23
8461490,New London,0.618,0.048,0.188,0.037,0.158,0.158
8467150,Bridgeport,0.704,0.052,0.16,0.037,-0.037,0.198
8510560,Montauk,0.608,0.048,0.173,0.037,0.118,0.19
8514560,Port Jefferson,0.683,0.097,0.216,0.079,0.022,0.517
8516990,Kings Point / Willets Point,0.848,0.063,0.236,0.051,0.224,0.24
8518750,The Battery,0.676,0.03,0.149,0.022,0.058,0.124
8531680,Sandy Hook,0.706,0.039,0.157,0.03,0.142,0.175
8534720,Atlantic City,0.674,0.031,0.137,0.023,0.097,0.162
8536110,Cape May,0.638,0.043,0.13,0.031,-0.138,0.222
8545240,Philadelphia,0.589,0.033,0.158,0.023,-0.038,0.125
8557380,Lewes,0.669,0.036,0.136,0.027,0.079,0.195
8571892,Cambridge,0.503,0.029,0.089,0.024,0.187,0.279
8574680,Baltimore,0.533,0.028,0.132,0.023,0.264,0.143
8575512,Annapolis,0.51,0.028,0.118,0.023,0.247,0.14
8577330,Solomons Island,0.478,0.028,0.11,0.02,-0.026,0.139
8594900,Washington,0.557,0.046,0.188,0.042,0.413,0.182
8632200,Kiptopeke,0.579,0.033,0.117,0.025,0.09,0.186
8635150,Colonial Beach,0.498,0.035,0.093,0.029,0.251,0.304
8635750,Lewisetta,0.488,0.035,0.099,0.027,0.146,0.215
8637624,Gloucester Point,0.582,0.042,0.141,0.03,0.044,0.158
8638610,Sewells Point,0.678,0.041,0.17,0.031,0.12,0.163
8638660,Portsmouth,0.697,0.052,0.17,0.038,0.076,0.196
8638863,Ches. Bay Bridge Tunnel,0.653,0.055,0.145,0.042,0.105,0.302
8656483,Beaufort,0.424,0.037,0.121,0.029,0.163,0.203
8658120,Wilmington,0.375,0.026,0.104,0.018,0.045,0.127
8661070,Springmaid Pier,0.574,0.027,0.088,0.018,-0.026,0.122
8665530,Charleston,0.526,0.022,0.094,0.017,0.234,0.153
8670870,Fort Pulaski,0.579,0.018,0.072,0.014,0.101,0.147
8720030,Fernandina Beach,0.556,0.021,0.096,0.016,0.154,0.118
8720220,Mayport,0.428,0.018,0.076,0.013,-0.01,0.148
8723170,Miami Beach,0.391,0.033,0.105,0.025,0.14,0.181
8723970,Vaca Key,0.268,0.02,0.057,0.017,0.325,0.242
8724580,Key West,0.276,0.014,0.067,0.01,0.053,0.096
8725110,Naples,0.414,0.034,0.104,0.027,0.172,0.249
8725520,Fort Myers,0.418,0.047,0.141,0.037,0.177,0.25
8726520,St. Petersburg,0.445,0.037,0.129,0.03,0.224,0.252
8726724,Clearwater Beach,0.467,0.048,0.122,0.04,0.257,0.37
8727520,Cedar Key,0.524,0.036,0.152,0.029,0.224,0.171
8729840,Pensacola,0.397,0.03,0.126,0.027,0.426,0.194
8735180,Dauphin Island,0.404,0.046,0.131,0.041,0.385,0.248
8761724,Grand Isle,0.433,0.047,0.168,0.039,0.261,0.206
8764311,Eugene Island,0.567,0.066,0.171,0.053,0.228,0.289
8770570,Sabine Pass,0.498,0.053,0.175,0.042,0.238,0.172
8771450,Galveston Pier 21,0.522,0.038,0.172,0.034,0.386,0.175
8771510,Galveston Pleasure Pier,0.592,0.066,0.212,0.055,0.292,0.208
8772440,Freeport,0.532,0.047,0.155,0.036,0.128,0.222
8774770,Rockport,0.351,0.033,0.105,0.028,0.331,0.282
8778490,Port Mansfield,0.388,0.046,0.116,0.035,0.135,0.27
8779750,Padre Island,0.341,0.043,0.115,0.038,0.401,0.277
8779770,Port Isabel,0.373,0.027,0.103,0.023,0.282,0.17
9410170,San Diego,0.554,0.012,0.058,0.008,-0.19,0.09
9410230,La Jolla,0.525,0.014,0.058,0.009,-0.213,0.129
9410580,Newport Beach,0.536,0.018,0.052,0.012,-0.167,0.176
9410660,Los Angeles,0.536,0.012,0.054,0.009,-0.172,0.123
9410840,Santa Monica,0.536,0.014,0.054,0.01,0.045,0.156
9411270,Rincon Island,0.548,0.03,0.073,0.021,-0.182,0.233
9412110,Port San Luis,0.512,0.02,0.071,0.014,-0.2,0.188
9413450,Monterey,0.499,0.025,0.068,0.018,-0.011,0.255
9414290,San Francisco,0.46,0.02,0.096,0.014,-0.118,0.119
9414750,Alameda,0.47,0.025,0.098,0.018,-0.064,0.151
9415020,Point Reyes,0.515,0.034,0.093,0.025,0.024,0.265
9419750,Crescent City,0.66,0.032,0.129,0.022,-0.167,0.133
9432780,Charleston,0.698,0.049,0.14,0.035,-0.17,0.253
9435380,South Beach,0.753,0.046,0.139,0.033,-0.135,0.218
9439040,Astoria,0.755,0.031,0.128,0.022,-0.135,0.169
9440910,Toke Point,0.973,0.074,0.209,0.054,-0.094,0.262
9443090,Neah Bay,0.835,0.039,0.16,0.028,-0.285,0.146
9444090,Port Angeles,0.668,0.051,0.141,0.035,-0.269,0.203
9444900,Port Townsend,0.631,0.049,0.139,0.036,-0.298,0.25
9447130,Seattle,0.649,0.023,0.11,0.016,-0.214,0.132
9449424,Cherry Point,0.689,0.045,0.13,0.031,-0.154,0.193
9449880,Friday Harbor,0.65,0.033,0.137,0.023,-0.277,0.123
9450460,Ketchikan,1.275,0.036,0.162,0.024,-0.263,0.096
9451600,Sitka,0.978,0.03,0.119,0.021,-0.117,0.139
9452210,Juneau,1.366,0.037,0.147,0.025,-0.106,0.117
9452400,Skagway,1.405,0.04,0.15,0.029,-0.118,0.173
9453220,Yakutat,1.041,0.038,0.147,0.026,-0.289,0.131
9454050,Cordova,1.088,0.053,0.167,0.038,-0.295,0.189
9454240,Valdez,1.086,0.051,0.141,0.036,-0.251,0.226
9455090,Seward,1.052,0.043,0.13,0.03,-0.125,0.191
9455500,Seldovia,1.494,0.066,0.213,0.045,-0.245,0.129
9455760,Nikiski,1.438,0.074,0.177,0.054,-0.455,0.234
9455920,Anchorage,1.425,0.041,0.122,0.029,-0.312,0.198
9457292,Kodiak Island,0.864,0.045,0.136,0.031,-0.165,0.181
9459450,Sand Point,0.858,0.053,0.152,0.037,-0.224,0.182
9461380,Adak Island,0.587,0.028,0.105,0.02,-0.234,0.166
9462620,Unalaska,0.558,0.027,0.109,0.018,-0.285,0.092
9751639,Charlotte Amalie,0.175,0.019,0.052,0.016,0.343,0.248
9755371,San Juan,0.204,0.016,0.053,0.012,0.097,0.133
9759110,Magueyes Island,0.152,0.012,0.041,0.01,0.291,0.228
